0.3um,co2,date,time,weather_idx
827,429,2026-01-13,2.6986111111111115,104
846,429,2026-01-13,2.7013888888888893,104
762,429,2026-01-13,2.704166666666667,104
792,429,2026-01-13,2.706944444444445,104
894,430,2026-01-13,2.7097222222222226,104
837,430,2026-01-13,2.7125000000000004,104
710,430,2026-01-13,2.715277777777778,104
647,430,2026-01-13,2.718055555555556,104
751,430,2026-01-13,2.7208333333333337,104
807,430,2026-01-13,2.7236111111111114,104
800,430,2026-01-13,2.726388888888889,104
791,430,2026-01-13,2.729166666666667,104
930,430,2026-01-13,2.7319444444444447,104
780,430,2026-01-13,2.7347222222222225,104
764,430,2026-01-13,2.7375000000000003,104
839,430,2026-01-13,2.740277777777778,104
875,430,2026-01-13,2.743055555555556,104
900,430,2026-01-13,2.7458333333333336,104
803,430,2026-01-13,2.7486111111111113,104
787,430,2026-01-13,2.751388888888889,104
866,430,2026-01-13,2.754166666666667,104
863,430,2026-01-13,2.7569444444444446,104
864,430,2026-01-13,2.7597222222222224,104
820,430,2026-01-13,2.7625,104
741,430,2026-01-13,2.765277777777778,104
816,430,2026-01-13,2.7680555555555557,104
837,430,2026-01-13,2.7708333333333335,104
868,430,2026-01-13,2.7736111111111112,104
876,430,2026-01-13,2.776388888888889,104
792,430,2026-01-13,2.779166666666667,104
866,430,2026-01-13,2.7819444444444446,104
960,429,2026-01-13,2.7847222222222223,104
882,429,2026-01-13,2.7875,104
829,429,2026-01-13,2.790277777777778,104
891,429,2026-01-13,2.7930555555555556,104
821,429,2026-01-13,2.7958333333333334,104
684,429,2026-01-13,2.798611111111111,104
674,429,2026-01-13,2.801388888888889,104
708,429,2026-01-13,2.8041666666666667,104
774,429,2026-01-13,2.8069444444444445,104
737,429,2026-01-13,2.8097222222222222,104
840,429,2026-01-13,2.8125,104
889,429,2026-01-13,2.8152777777777778,104
910,429,2026-01-13,2.8180555555555555,104
828,429,2026-01-13,2.8208333333333333,104
792,429,2026-01-13,2.823611111111111,104
801,429,2026-01-13,2.826388888888889,104
785,429,2026-01-13,2.8291666666666666,104
762,429,2026-01-13,2.8319444444444444,104
783,429,2026-01-13,2.8347222222222226,104
775,429,2026-01-13,2.8375000000000004,104
671,429,2026-01-13,2.840277777777778,104
697,428,2026-01-13,2.843055555555556,104
821,428,2026-01-13,2.8458333333333337,104
732,428,2026-01-13,2.8486111111111114,104
801,428,2026-01-13,2.851388888888889,104
844,428,2026-01-13,2.854166666666667,104
745,428,2026-01-13,2.8569444444444447,104
779,428,2026-01-13,2.8597222222222225,104
861,428,2026-01-13,2.8625000000000003,104
768,428,2026-01-13,2.865277777777778,104
636,428,2026-01-13,2.868055555555556,104
789,428,2026-01-13,2.8708333333333336,104
1082,428,2026-01-13,2.8736111111111113,104
786,428,2026-01-13,2.876388888888889,104
749,428,2026-01-13,2.879166666666667,104
786,428,2026-01-13,2.8819444444444446,104
789,428,2026-01-13,2.8847222222222224,104
805,428,2026-01-13,2.8875,104
843,428,2026-01-13,2.890277777777778,104
784,428,2026-01-13,2.8930555555555557,104
839,428,2026-01-13,2.8958333333333335,104
855,428,2026-01-13,2.8986111111111112,104
743,428,2026-01-13,2.901388888888889,104
679,428,2026-01-13,2.904166666666667,104
648,428,2026-01-13,2.9069444444444446,104
753,428,2026-01-13,2.9097222222222223,104
782,428,2026-01-13,2.9125,104
870,428,2026-01-13,2.915277777777778,104
951,427,2026-01-13,2.9180555555555556,104
907,427,2026-01-13,2.9208333333333334,104
853,427,2026-01-13,2.923611111111111,104
938,427,2026-01-13,2.926388888888889,104
830,427,2026-01-13,2.9291666666666667,104
728,427,2026-01-13,2.9319444444444445,104
771,427,2026-01-13,2.9347222222222227,104
778,427,2026-01-13,2.9375000000000004,104
