UTC_timestamp,co2,0.3um,Prevailing Wind Magnitude (MPH),Gust Wind Magnitude (MPH),Vis (MI),Cloud Height 1 (100s of ft),Cloud Height 2 (100s of ft),Cloud Height 3 (100s of ft),Cloud Height 4 (100s of ft),Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr,cloud_code_1,cloud_code_2,cloud_code_3,cloud_code_4,prevailing_wind_dir_code,gust_wind_dir_code,weather_code
2026-1-9T17:50:37+00:00,375,1022,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:50:47+00:00,375,969,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:50:57+00:00,376,896,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:07+00:00,379,941,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:17+00:00,380,878,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:27+00:00,381,891,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:37+00:00,381,873,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:47+00:00,381,799,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:51:57+00:00,380,869,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:07+00:00,380,1040,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:17+00:00,380,951,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:27+00:00,380,906,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:37+00:00,380,890,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:47+00:00,381,700,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:52:57+00:00,381,674,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
2026-1-9T17:53:07+00:00,381,679,16.0,24.0,10.0,20.0,140.0,250.0,,46.0,39.0,46.9,28.9,77.0,40.0,,30.2,1022.7,,,,0,0,0,-1,5,0,7
