UTC_timestamp,co2,0.3um,date,time,Wind (MPH),Vis (MI),Weather,Sky Cond,Air Temp (F),Dewpoint (F),6hr Max (F),6hr Min (F),Rel Hum,Wind Chill (F),Heat Index (F),Altimeter (IN),Sea Level Pressure (MB),Precip 1hr,Precip 3hr,Precip 6hr
2026-1-12T00:19:08+00:00,380,419,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:19:18+00:00,380,386,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:19:28+00:00,380,324,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:19:38+00:00,380,364,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:19:48+00:00,380,370,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:19:58+00:00,379,396,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:08+00:00,379,376,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:18+00:00,379,308,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:28+00:00,378,420,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:38+00:00,378,421,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:48+00:00,378,335,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:20:58+00:00,378,344,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:08+00:00,378,384,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:18+00:00,377,366,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:28+00:00,377,358,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:38+00:00,377,345,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:48+00:00,378,365,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:21:58+00:00,377,387,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:08+00:00,377,358,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:18+00:00,377,345,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:28+00:00,377,398,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:38+00:00,377,474,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:48+00:00,378,445,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:22:58+00:00,378,381,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
2026-1-12T00:23:08+00:00,378,407,2026-01-11,23:54,W 15 G 25,10.0,Overcast,FEW030 BKN100 OVC140,39.0,19.9,44.1,39.0,46%,31.0,,29.67,1004.5,,,
